treeID,Disease,Country,Sublocation,Year,Source,Source Link,Notes
aus.2000.meas.1.00,Measles,Australia,Sydney,2000,"Infectious Diseases Team and Director, South Eastern Sydney Public Health Unit. (2001). Outbreak report: measles cluster in south-eastern Sydney with transmission in a general practice waiting room. Communicable diseases intelligence quarterly report, 25(1).",https://www1.health.gov.au/internet/main/publishing.nsf/Content/cda-pubs-cdi-2001-cdi2501-cdi2501k.htm,
aus.2003.meas.1.00,Measles,Australia,Adelaide,2003,"Fielding, J. E. (2005). An outbreak of measles in Adelaide. Communicable diseases intelligence quarterly report, 29(1), 80. ",https://www1.health.gov.au/internet/main/publishing.nsf/content/cda-cdi2901-pdf-cnt.htm/$FILE/cdi2901g.pdf,
aus.2010.meas.1.00,Measles,Australia,,2010,"Beard, F., Franklin, L., Donohue, S., Moran, R., Lambert, S., Maloney, M., ... & Tran, T. (2011). Contact tracing of in-flight measles exposures: lessons from an outbreak investigation and case series, Australia, 2010. Western Pacific Surveillance and Response, 2(3). ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3729056/,
bgd.2001.nph.1.01,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,
bgd.2001.nph.1.02,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,
bgd.2001.nph.1.03,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,
bgd.2001.nph.1.04,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,
bgd.2001.nph.1.05,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,
bgd.2001.nph.1.06,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,
bgd.2001.nph.1.07,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,
bgd.2001.nph.1.08,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,
bgd.2001.nph.1.11,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,
bgd.2001.nph.1.12,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,Individual with unknown infector and no secondary infections not included in tree
bgd.2001.nph.1.13,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,
bgd.2001.nph.1.14,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,
bgd.2001.nph.1.15,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,
bgd.2001.nph.1.16,Nipah virus,Bangladesh,,2001-14,"Nikolay, B., Salje, H., Hossain, M. J., Khan, A. D., Sazzad, H. M., Rahman, M., ... & Nichol, S. T. (2019). Transmission of Nipah Virus—14 Years of Investigations in Bangladesh. New England Journal of Medicine, 380(19), 1804-1814.",https://www.nejm.org/doi/full/10.1056/NEJMoa1805376,
bgd.2004.nph.1.00,Nipah virus,Bangladesh,Faridpur,2004,"Gurley, E. S., Montgomery, J. M., Hossain, M. J., Bell, M., Azad, A. K., Islam, M. R., ... & Lowe, L. (2007). Person-to-person transmission of Nipah virus in a Bangladeshi community. Emerging infectious diseases, 13(7), 1031.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2878219/,Individuals II and KK excluded from tree because they had no known infectors and no secondary infections
chn.1946.plg.1.00,Pneumonic plague,China,Mukden,1946,"Nishiura, Hiroshi, Markus Schwehm, Masayuki Kakehashi, and Martin Eichner. (2006). Transmission potential of primary pneumonic plague: time inhomogeneous evaluation based on historical documents of the transmission network. Journal of Epidemiology & Community Health 60, 7, 640-645. Tieh, T. H., Landauer, E., Miyagawa, F., Kobayashi, G., & Okayasu, G. (1948). Primary pneumonic plague in Mukden, 1946, and report of 39 cases with 3 recoveries. The Journal of infectious diseases, 82(1), 52-58. ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2566243/
https://www.jstor.org/stable/30088952","This tree is constructed from two sources that provide different trees: Tieh et al. (1948) and Nishiura et al. (2006). Take this into consideration when evaluating the accuracy of this tree. Numbering of individuals can be found in REU notebook. Individual 6 assumed to have no onward transmission and to be infected by individual 1, as given in Tieh. Individual 25 assumed to be infected by individual 2 based on Tieh tree. Individual 26 assumed to be infected by individual 7, not individual 15 or individual 2 based on shared possibility between two trees. Individual 40 (considered to have known source of infection) added as case infected by individual 35 in Nishiura tree. Individual 34 assumed to be infected by individual 27 based on random choice between individuals 22 and 27. Individuals 37 and 39 not included in tree because they have no suspected source of infection. Other individuals specified in Nishiura tree with limited information on their source of infection and which were not specified at all in the Tieh tree were excluded from the database tree. Individual 9 assumed to be infected by individual 2 despite horizontal line from individual 1 in Tieh tree."
chn.2003.sars.1.00,SARS,China,Tianjin,2003,"Wang, S. X., Li, Y. M., Sun, B. C., Zhang, S. W., Zhao, W. H., Wei, M. T., ... & Cheung, A. C. (2006). The SARS outbreak in a general hospital in Tianjin, China–the case of super-spreader. Epidemiology & Infection, 134(4), 786-791.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2870450/,"Individuals 54, 55, 58, 78, 79, 85, 86, 88, and 89 excluded from tree because their infectors are not clear. When vertical and horizontal lines crossed in the graphic, assumed the two remained separate infection events. Individual 75’s infection attributed to individual 0, despite different colored arrow -- the same applies for individual 40."
chn.2003.sars.1.01,SARS,China,Tianjin,2003,"Wang, S. X., Li, Y. M., Sun, B. C., Zhang, S. W., Zhao, W. H., Wei, M. T., ... & Cheung, A. C. (2006). The SARS outbreak in a general hospital in Tianjin, China–the case of super-spreader. Epidemiology & Infection, 134(4), 786-791. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2870450/,
